purchase_date,flight_date,day_of_week,origin,destination,airline,days_to_flight,departure_time,class,stops,ticket_price
2023-11-27,2024-01-13,Saturday,ESB,IST,AnadoluJet,47,03:00,Economy,0,916
2024-01-11,2024-01-16,Tuesday,ADB,IST,Pegasus,5,17:15,Economy,0,1158
2024-07-19,2024-08-02,Friday,ESB,AYT,SunExpress,14,00:15,Economy,1,958
2024-05-13,2024-05-22,Wednesday,ADB,IZM,Pegasus,9,02:45,Business,0,2179
    2024-10-20,2024-11-05,Tuesday,IZM,ADB,Turkish Airlines,16,12:00,Economy,0,1061
2024-05-29,2024-07-04,Thursday,IZM,ESB,Pegasus,36,07:30,Economy,0,840
2024-06-26,2024-07-13,Saturday,ANK,IST,SunExpress,17,11:30,Economy,0,968
2024-10-27,2024-12-25,Wednesday,ESB,IZM,Turkish Airlines,59,23:15,Economy,0,746
2024-03-20,2024-05-18,Saturday,ADB,AYT,Pegasus,59,01:15,Economy,1,563
2024-05-13,2024-05-17,Friday,IZM,AYT,Pegasus,4,22:30,Business,0,2234
2024-05-26,2024-07-21,Sunday,ESB,ADB,SunExpress,56,23:30,Economy,0,911
2024-09-30,2024-10-25,Friday,AYT,ADB,AnadoluJet,25,16:45,Economy,1,748
2024-02-08,2024-03-19,Tuesday,IST,ANK,Pegasus,40,02:45,Economy,0,897
2024-09-11,2024-09-27,Friday,AYT,ADB,Turkish Airlines,16,17:30,Economy,0,1116
2024-02-09,2024-02-27,Tuesday,ESB,IZM,SunExpress,18,23:30,Economy,0,1038
2023-12-31,2024-02-24,Saturday,ANK,ESB,AnadoluJet,55,06:15,Economy,0,820
2024-08-01,2024-09-28,Saturday,ANK,ESB,Turkish Airlines,58,03:30,Economy,0,788
2024-03-08,2024-05-03,Friday,ANK,IST,Turkish Airlines,56,02:15,Economy,0,752
2024-09-28,2024-10-08,Tuesday,ESB,ADB,AnadoluJet,10,06:15,Economy,0,1132
2024-10-29,2024-12-09,Monday,IZM,AYT,AnadoluJet,41,03:15,Economy,0,852
2023-12-05,2024-01-11,Thursday,IST,ADB,Pegasus,37,22:00,Economy,0,873
2024-06-14,2024-06-18,Tuesday,IST,ANK,Pegasus,4,17:15,Economy,0,1165
2024-08-15,2024-08-30,Friday,AYT,ESB,SunExpress,15,03:45,Economy,0,1015
2024-07-03,2024-08-27,Tuesday,ADB,AYT,Turkish Airlines,55,03:00,Economy,1,678
2024-02-10,2024-02-25,Sunday,ESB,IZM,Pegasus,15,13:15,Economy,0,996
2024-01-11,2024-02-08,Thursday,ADB,ANK,Turkish Airlines,28,00:00,Economy,1,902
2024-06-26,2024-07-27,Saturday,ANK,IZM,SunExpress,31,01:15,Economy,0,942
2024-03-17,2024-05-15,Wednesday,IST,AYT,SunExpress,59,23:45,Economy,0,744
2024-04-18,2024-04-21,Sunday,ANK,ADB,Turkish Airlines,3,18:45,Economy,0,1113
2023-12-29,2024-01-30,Tuesday,AYT,ANK,Turkish Airlines,32,02:15,Business,0,2143
2024-03-30,2024-05-06,Monday,IST,ESB,Turkish Airlines,37,18:30,Economy,0,881
2024-04-16,2024-05-02,Thursday,ANK,ADB,SunExpress,16,14:30,Economy,0,1112
2024-07-14,2024-08-22,Thursday,IST,ANK,Turkish Airlines,39,08:15,Economy,0,894
2024-06-20,2024-07-08,Monday,IST,IZM,Pegasus,18,09:00,Economy,0,1080
2024-11-29,2024-12-05,Thursday,AYT,IZM,Pegasus,6,23:15,Economy,1,889
2024-03-03,2024-04-17,Wednesday,IZM,ESB,AnadoluJet,45,08:45,Economy,0,839
2024-10-24,2024-11-20,Wednesday,IST,ANK,AnadoluJet,27,04:30,Economy,0,906
2024-08-25,2024-10-09,Wednesday,ESB,ADB,SunExpress,45,22:15,Economy,0,914
2024-09-20,2024-10-25,Friday,IST,ADB,Pegasus,35,11:00,Economy,0,916
2024-12-01,2024-12-07,Saturday,ANK,IZM,AnadoluJet,6,13:15,Economy,1,880
2024-07-29,2024-07-30,Tuesday,ANK,IZM,Pegasus,1,13:15,Economy,0,1063
2024-05-20,2024-07-14,Sunday,ANK,IST,Turkish Airlines,55,14:30,Business,0,2003
2023-12-02,2024-01-13,Saturday,ANK,IZM,Pegasus,42,02:30,Economy,0,879
2024-06-10,2024-07-23,Tuesday,ESB,AYT,AnadoluJet,43,08:15,Business,0,2133
2024-01-18,2024-02-25,Sunday,IZM,IST,SunExpress,38,13:00,Economy,0,908
2024-05-08,2024-05-10,Friday,AYT,ANK,SunExpress,2,17:15,Economy,1,933
2024-10-09,2024-12-06,Friday,ADB,IST,AnadoluJet,58,03:30,Economy,0,839
2024-05-22,2024-06-16,Sunday,IZM,AYT,AnadoluJet,25,21:45,Economy,0,1048
2024-10-06,2024-11-11,Monday,ESB,ANK,AnadoluJet,36,09:30,Economy,1,723
2024-09-26,2024-11-06,Wednesday,ADB,ESB,AnadoluJet,41,06:45,Economy,0,983
2024-04-23,2024-05-25,Saturday,ANK,IST,AnadoluJet,32,07:30,Economy,1,747
2024-01-11,2024-01-13,Saturday,ANK,IZM,Pegasus,2,02:45,Business,0,2296
2024-02-24,2024-04-09,Tuesday,ESB,AYT,SunExpress,45,20:00,Economy,0,967
2024-04-11,2024-04-22,Monday,IST,AYT,SunExpress,11,03:45,Economy,0,979
2024-09-05,2024-10-13,Sunday,ADB,ESB,AnadoluJet,38,19:45,Business,1,2000
2024-08-03,2024-08-31,Saturday,ADB,ANK,AnadoluJet,28,08:45,Economy,1,870
2024-08-09,2024-08-13,Tuesday,ANK,ADB,AnadoluJet,4,17:00,Economy,0,1015
2024-06-01,2024-07-15,Monday,ANK,IZM,Pegasus,44,13:30,Economy,0,918
2024-01-19,2024-02-01,Thursday,ADB,AYT,SunExpress,13,22:00,Economy,0,1130
2024-09-01,2024-09-01,Sunday,AYT,ADB,AnadoluJet,0,13:15,Economy,0,1124
2024-07-11,2024-08-11,Sunday,ANK,ADB,Turkish Airlines,31,12:15,Economy,0,964
2024-09-29,2024-09-30,Monday,ANK,ESB,SunExpress,1,02:45,Economy,0,1029
2024-01-10,2024-01-26,Friday,ADB,ANK,SunExpress,16,10:45,Economy,0,991
2024-01-12,2024-02-11,Sunday,ADB,IZM,Turkish Airlines,30,11:15,Economy,0,1016
2023-11-17,2024-01-16,Tuesday,IST,ANK,Pegasus,60,04:15,Economy,0,732
2024-08-16,2024-10-15,Tuesday,ADB,IST,Pegasus,60,11:15,Economy,0,855
2024-03-05,2024-03-24,Sunday,AYT,IST,Turkish Airlines,19,18:45,Economy,1,856
2024-01-02,2024-02-08,Thursday,ESB,ANK,Pegasus,37,21:00,Economy,0,959
2024-09-02,2024-09-29,Sunday,IST,ADB,AnadoluJet,27,00:45,Economy,0,990
2024-05-25,2024-07-04,Thursday,IST,AYT,SunExpress,40,23:30,Economy,0,957
